Run_Num,Random_Write,Random_Read,Seq_Write,Seq_Read
0,49204,49132,2396,192
1,49176,49096,2392,196
2,49184,49100,2392,196
3,49184,49100,2392,196
4,49172,49100,2384,196
5,49180,49116,2392,200
6,49204,49116,2392,200
7,49188,49116,2392,196
8,49192,49108,2388,192
9,49196,49124,2392,192
10,49212,49136,2396,196
11,49200,49120,2396,192
12,49192,49128,2392,196
13,49200,49136,2392,196
14,49168,49112,2392,196
15,49200,49140,2392,200
16,49188,49120,2392,196
17,49208,49144,2392,196
18,49224,49136,2392,196
19,49188,49116,2392,196
20,49208,49128,2396,192
21,49172,49112,2392,196
22,49204,49140,2392,200
23,49208,49112,2392,192
24,49220,49140,2388,196
25,49216,49128,2392,196
26,49192,49120,2392,196
27,49200,49128,2392,196
28,49172,49116,2392,196
29,49200,49144,2392,200
30,49196,49128,2388,196
31,49196,49148,2388,196
32,49224,49136,2392,196
33,49196,49124,2392,196
34,49192,49128,2392,196
35,49168,49104,2392,196
36,49200,49136,2388,204
37,49192,49124,2396,196
38,49208,49140,2388,196
39,49224,49140,2392,196
40,49196,49124,2396,196
41,49192,49128,2392,196
42,49184,49104,2396,192
43,49188,49120,2392,200
44,49204,49112,2392,200
45,49200,49112,2392,196
46,49216,49136,2388,196
47,49212,49132,2392,196
48,49188,49124,2392,196
49,49200,49112,2392,196
50,49160,49108,2384,196
51,49180,49112,2392,200
52,49204,49104,2392,200
53,49196,49112,2392,196
54,49216,49136,2388,196
55,49212,49132,2392,196
56,49204,49116,2392,196
57,49196,49132,2392,196
58,49168,49104,2396,192
59,49188,49112,2392,200
60,49208,49120,2392,204
61,49188,49120,2392,196
62,49216,49132,2388,196
63,49204,49132,2396,192
64,49188,49128,2392,196
65,49208,49128,2392,196
66,49168,49112,2392,196
67,49200,49144,2392,200
68,49196,49120,2388,196
69,49208,49136,2388,196
70,49208,49148,2400,196
71,49192,49120,2392,196
72,49196,49136,2392,196
73,49192,49108,2392,196
74,49168,49104,2396,192
75,49184,49132,2392,200
76,49188,49120,2396,196
77,49196,49096,2388,196
78,49216,49144,2396,196
79,49204,49124,2392,196
80,49196,49120,2388,196
81,49200,49124,2392,196
82,49176,49108,2392,196
83,49200,49140,2392,200
84,49188,49120,2392,196
85,49208,49140,2388,196
86,49224,49136,2392,196
87,49208,49124,2392,196
88,49188,49128,2392,196
89,49184,49100,2392,196
90,49168,49096,2392,196
91,49180,49128,2388,204
92,49196,49116,2392,200
93,49188,49120,2392,196
94,49212,49132,2388,196
95,49208,49120,2392,196
96,49192,49124,2392,196
97,49200,49128,2392,196
98,49180,49100,2392,196
99,49204,49148,2392,200
Average Time (us),49195.8,49123,2391.76,196.44
Average Time / Byte (us),139.7607955,139.5539773,6.794772727,0.558068182
