Run_Num,Random_Write,Random_Read,Seq_Write,Seq_Read
0,2524000,2032000,250500,23000
1,2524000,2032000,250500,23100
2,2524000,2033000,250400,23100
3,2524000,2033000,250400,23100
4,2523000,2032000,250500,23000
5,2524000,2032000,250500,23100
6,2524000,2033000,250400,23100
7,2524000,2033000,250400,23100
8,2523000,2033000,250400,23100
9,2523000,2033000,250500,23000
10,2524000,2032000,250500,23100
11,2524000,2033000,250400,23100
12,2524000,2033000,250400,23100
13,2523000,2033000,250500,23000
14,2524000,2032000,250500,23000
15,2524000,2032000,250400,23100
16,2524000,2033000,250500,23000
17,2524000,2032000,250400,23100
18,2524000,2033000,250500,23000
19,2524000,2032000,250400,23100
20,2524000,2033000,250400,23100
21,2524000,2032000,250500,23000
22,2524000,2032000,250500,23100
23,2524000,2033000,250500,23000
24,2524000,2032000,250400,23100
25,2524000,2033000,250400,23100
26,2524000,2033000,250500,23000
27,2524000,2032000,250400,23100
28,2524000,2033000,250500,23000
29,2524000,2033000,250400,23100
30,2524000,2033000,250400,23100
31,2524000,2032000,250500,23000
32,2524000,2032000,250400,23100
33,2524000,2033000,250500,23000
34,2524000,2032000,250500,23100
35,2524000,2033000,250400,23100
36,2524000,2033000,250500,23000
37,2524000,2032000,250400,23100
38,2524000,2033000,250400,23100
39,2524000,2033000,250400,23100
40,2524000,2032000,250500,23100
41,2524000,2033000,250400,23100
42,2525000,2032000,250500,23000
43,2524000,2032000,250500,23100
44,2524000,2033000,250400,23100
45,2524000,2033000,250500,23000
46,2524000,2032000,250500,23100
47,2524000,2033000,250400,23100
48,2524000,2033000,250500,23000
49,2524000,2032000,250500,23100
50,2524000,2033000,250400,23100
51,2524000,2033000,250400,23100
52,2524000,2032000,250500,23000
53,2524000,2033000,250400,23100
54,2524000,2033000,250400,23100
55,2524000,2033000,250500,23000
56,2524000,2032000,250500,23000
57,2524000,2032000,250400,23100
58,2524000,2033000,250400,23100
59,2524000,2033000,250400,23100
60,2524000,2033000,250400,23100
61,2524000,2032000,250500,23000
62,2524000,2033000,250400,23100
63,2524000,2033000,250500,23000
64,2524000,2032000,250500,23100
65,2524000,2033000,250400,23100
66,2524000,2032000,250500,23000
67,2524000,2032000,250400,23100
68,2524000,2033000,250500,23000
69,2524000,2032000,250500,23000
70,2524000,2033000,250400,23100
71,2524000,2033000,250500,23000
72,2524000,2032000,250400,23100
73,2524000,2033000,250400,23100
74,2525000,2032000,250500,23000
75,2524000,2033000,250400,23100
76,2524000,2033000,250500,23000
77,2524000,2032000,250400,23100
78,2524000,2033000,250400,23100
79,2523000,2033000,250400,23100
80,2524000,2032000,250500,23100
81,2524000,2033000,250400,23100
82,2524000,2033000,250400,23100
83,2523000,2032000,250500,23000
84,2524000,2032000,250500,23100
85,2524000,2033000,250500,23000
86,2524000,2032000,250500,23100
87,2524000,2033000,250500,23000
88,2524000,2032000,250500,23100
89,2524000,2032000,250400,23100
90,2524000,2033000,250400,23100
91,2524000,2032000,250500,23100
92,2524000,2033000,250400,23100
93,2524000,2032000,250500,23000
94,2524000,2032000,250500,23100
95,2524000,2033000,250400,23100
96,2524000,2033000,250400,23100
97,2523000,2033000,250500,23000
98,2524000,2032000,250500,23100
99,2524000,2033000,250400,23100
Average Time (us),2523950,1514403.64,246.092,19.804
Average Time/Byte (us/byte),717.03125,430.2283068,0.2384612,0.0191899
